-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     356.703us         0.75%     356.703us       5.945us            60  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     341.536us         0.71%     341.536us       7.590us            45  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     297.447us         0.62%     297.447us       1.044us           285  
void furthest_point_sampling_kernel<256u>(int, int, ...         0.00%       0.000us         0.00%       0.000us       0.000us     275.169us         0.57%     275.169us      27.517us            10  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     274.691us         0.57%     274.691us       1.526us           180  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     259.101us         0.54%     259.101us       3.701us            70  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     253.827us         0.53%     253.827us       6.346us            40  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     224.581us         0.47%     224.581us       7.486us            30  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     223.778us         0.47%     223.778us       1.721us           130  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     216.420us         0.45%     216.420us       2.164us           100  
                                              aten::div         0.38%     447.183us         0.67%     789.693us       4.936us     205.091us         0.43%     205.091us       1.282us           160  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     205.091us         0.43%     205.091us       1.282us           160  
                                             aten::relu         0.11%     129.882us         0.82%     963.974us       5.355us       0.000us         0.00%     196.165us       1.090us           180  
                                        aten::clamp_min         0.38%     439.180us         0.71%     834.092us       4.634us     196.165us         0.41%     196.165us       1.090us           180  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     191.388us         0.40%     191.388us       0.766us           250  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 117.018ms
Self CUDA time total: 47.858ms
